"GOOGL.Open","GOOGL.High","GOOGL.Low","GOOGL.Close","GOOGL.Volume","GOOGL.Adjusted","date"
296.281,296.557,292.137,295.565552,3510200,295.565552,"2010-12-08"
194.294,196.151,191.692,192.942947,11052700,192.942947,"2006-07-26"
441.662,442.332,437.307,440.230225,3120000,440.230225,"2013-09-06"
287.883,290.015,286.336,289.544556,10901600,289.544556,"2011-04-14"
782.61,782.9,778.19,780.22998,613500,780.22998,"2016-11-25"
551.04,551.04,545,545.890015,2506000,545.890015,"2014-11-21"
96.642,97.497,96.256,96.711708,10810100,96.711708,"2005-04-11"
287.082,292.432,286.847,291.056061,4148200,291.056061,"2012-06-19"
554.474,558.458,553.113,558.108093,3439700,558.108093,"2013-12-23"
147.653,149.149,146.191,148.193192,19614100,148.193192,"2005-07-26"
258.674,260.51,255.405,257.81781,5706000,257.81781,"2011-10-07"
598.403,602.798,596.997,602.002014,4369000,602.002014,"2014-02-14"
246.481,254.695,246.136,250.67067,8470100,250.67067,"2008-08-11"
230.23,234.8,229.84,233.198196,11386200,233.198196,"2007-02-14"
103.098,106.792,103.008,105.535538,25950200,105.535538,"2005-02-03"
757.68,759.82,754.07,757.52002,1073300,757.52002,"2016-07-25"
338.088,339.775,336.667,338.108093,3512600,338.108093,"2012-08-20"
254.79,256.647,246.522,247.962967,26287800,247.962967,"2008-02-04"
195.621,197.598,193.684,194.264267,15250900,194.264267,"2006-06-19"
233.754,234.98,230.741,230.965973,7365200,230.965973,"2007-05-10"
376.827,379.63,375.521,376.116119,4763000,376.116119,"2012-10-11"
976.32,983.35,970.8,975.960022,1660500,975.960022,"2017-07-17"
322.207,335.32,321.361,330.590576,14012900,330.590576,"2007-11-21"
239.269,241.321,237.157,238.433426,12558200,238.433426,"2006-10-31"
368.138,368.519,362.578,367.017029,3348800,367.017029,"2013-01-08"
565.84,567.8,555.38,567.039978,3031600,567.039978,"2014-04-09"
194.565,196.131,192.207,195.19519,72969700,195.19519,"2006-03-31"
352.818,354.329,348.619,351.616608,5120200,351.616608,"2007-12-28"
185.826,190.691,183.834,189.57457,9944600,189.57457,"2009-02-09"
390.255,394.765,389.274,394.304291,3467100,394.304291,"2013-02-14"
