,ds_provincia,cod_provincia,value,anio,trimestre,sector
0,Albacete,2,15.4,2008,1,Agricultura
1,Alicante/Alacant,3,21.5,2008,1,Agricultura
2,AlmerÃ­a,4,55.4,2008,1,Agricultura
3,Araba/Ã�lava,1,2.5,2008,1,Agricultura
4,Asturias,33,21.4,2008,1,Agricultura
5,Ã�vila,5,7.0,2008,1,Agricultura
6,Badajoz,6,29.0,2008,1,Agricultura
7,"Balears, Illes",7,6.4,2008,1,Agricultura
8,Barcelona,8,24.4,2008,1,Agricultura
9,Bizkaia,48,11.7,2008,1,Agricultura
10,Burgos,9,13.5,2008,1,Agricultura
11,CÃ¡ceres,10,20.6,2008,1,Agricultura
12,CÃ¡diz,11,20.6,2008,1,Agricultura
13,Cantabria,39,11.3,2008,1,Agricultura
14,CastellÃ³n/CastellÃ³,12,13.3,2008,1,Agricultura
15,Ciudad Real,13,16.5,2008,1,Agricultura
16,CÃ³rdoba,14,50.6,2008,1,Agricultura
17,"CoruÃ±a, A",15,32.1,2008,1,Agricultura
18,Cuenca,16,12.0,2008,1,Agricultura
19,Gipuzkoa,20,4.8,2008,1,Agricultura
20,Girona,17,7.7,2008,1,Agricultura
21,Granada,18,34.8,2008,1,Agricultura
22,Guadalajara,19,4.2,2008,1,Agricultura
23,Huelva,21,34.5,2008,1,Agricultura
24,Huesca,22,9.5,2008,1,Agricultura
25,JaÃ©n,23,51.3,2008,1,Agricultura
26,LeÃ³n,24,14.7,2008,1,Agricultura
27,Lleida,25,14.9,2008,1,Agricultura
28,Lugo,27,28.5,2008,1,Agricultura
29,Madrid,28,23.7,2008,1,Agricultura
30,MÃ¡laga,29,19.7,2008,1,Agricultura
31,Murcia,30,63.3,2008,1,Agricultura
32,Navarra,31,13.6,2008,1,Agricultura
33,Ourense,32,11.7,2008,1,Agricultura
34,Palencia,34,6.5,2008,1,Agricultura
35,"Palmas, Las",35,13.1,2008,1,Agricultura
36,Pontevedra,36,28.5,2008,1,Agricultura
37,"Rioja, La",26,6.8,2008,1,Agricultura
38,Salamanca,37,10.5,2008,1,Agricultura
39,Santa Cruz de Tenerife,38,18.3,2008,1,Agricultura
40,Segovia,40,7.0,2008,1,Agricultura
41,Sevilla,41,47.2,2008,1,Agricultura
42,Soria,42,4.8,2008,1,Agricultura
43,Tarragona,43,18.1,2008,1,Agricultura
44,Teruel,44,6.6,2008,1,Agricultura
45,Toledo,45,16.1,2008,1,Agricultura
46,Valencia/ValÃ¨ncia,46,39.8,2008,1,Agricultura
47,Valladolid,47,10.7,2008,1,Agricultura
48,Zamora,49,11.9,2008,1,Agricultura
49,Zaragoza,50,16.7,2008,1,Agricultura
50,Ceuta,51,0.1,2008,1,Agricultura
51,Melilla,52,0.0,2008,1,Agricultura
52,Albacete,2,23.4,2008,1,Construccion
53,Alicante/Alacant,3,134.9,2008,1,Construccion
54,AlmerÃ­a,4,66.5,2008,1,Construccion
55,Araba/Ã�lava,1,15.0,2008,1,Construccion
56,Asturias,33,55.9,2008,1,Construccion
57,Ã�vila,5,13.4,2008,1,Construccion
58,Badajoz,6,38.4,2008,1,Construccion
59,"Balears, Illes",7,93.3,2008,1,Construccion
60,Barcelona,8,299.3,2008,1,Construccion
61,Bizkaia,48,58.4,2008,1,Construccion
62,Burgos,9,22.1,2008,1,Construccion
63,CÃ¡ceres,10,26.8,2008,1,Construccion
64,CÃ¡diz,11,82.0,2008,1,Construccion
65,Cantabria,39,39.9,2008,1,Construccion
66,CastellÃ³n/CastellÃ³,12,48.2,2008,1,Construccion
67,Ciudad Real,13,41.4,2008,1,Construccion
68,CÃ³rdoba,14,47.1,2008,1,Construccion
69,"CoruÃ±a, A",15,64.4,2008,1,Construccion
70,Cuenca,16,14.6,2008,1,Construccion
71,Gipuzkoa,20,28.9,2008,1,Construccion
72,Girona,17,63.8,2008,1,Construccion
73,Granada,18,67.6,2008,1,Construccion
74,Guadalajara,19,13.4,2008,1,Construccion
75,Huelva,21,31.7,2008,1,Construccion
76,Huesca,22,14.0,2008,1,Construccion
77,JaÃ©n,23,33.9,2008,1,Construccion
78,LeÃ³n,24,24.9,2008,1,Construccion
79,Lleida,25,34.1,2008,1,Construccion
80,Lugo,27,19.1,2008,1,Construccion
81,Madrid,28,370.1,2008,1,Construccion
82,MÃ¡laga,29,114.9,2008,1,Construccion
83,Murcia,30,116.0,2008,1,Construccion
84,Navarra,31,38.0,2008,1,Construccion
85,Ourense,32,15.2,2008,1,Construccion
86,Palencia,34,8.1,2008,1,Construccion
87,"Palmas, Las",35,70.1,2008,1,Construccion
88,Pontevedra,36,54.0,2008,1,Construccion
89,"Rioja, La",26,19.2,2008,1,Construccion
90,Salamanca,37,13.3,2008,1,Construccion
91,Santa Cruz de Tenerife,38,77.8,2008,1,Construccion
92,Segovia,40,13.5,2008,1,Construccion
93,Sevilla,41,120.8,2008,1,Construccion
94,Soria,42,5.7,2008,1,Construccion
95,Tarragona,43,70.8,2008,1,Construccion
96,Teruel,44,9.7,2008,1,Construccion
97,Toledo,45,60.6,2008,1,Construccion
98,Valencia/ValÃ¨ncia,46,180.5,2008,1,Construccion
99,Valladolid,47,29.1,2008,1,Construccion
100,Zamora,49,10.2,2008,1,Construccion
101,Zaragoza,50,55.2,2008,1,Construccion
102,Ceuta,51,2.5,2008,1,Construccion
103,Melilla,52,1.9,2008,1,Construccion
104,Albacete,2,30.8,2008,1,Industria
105,Alicante/Alacant,3,157.5,2008,1,Industria
106,AlmerÃ­a,4,25.1,2008,1,Industria
107,Araba/Ã�lava,1,51.1,2008,1,Industria
108,Asturias,33,72.7,2008,1,Industria
109,Ã�vila,5,10.7,2008,1,Industria
110,Badajoz,6,30.9,2008,1,Industria
111,"Balears, Illes",7,50.7,2008,1,Industria
112,Barcelona,8,646.4,2008,1,Industria
113,Bizkaia,48,104.1,2008,1,Industria
114,Burgos,9,42.0,2008,1,Industria
115,CÃ¡ceres,10,19.4,2008,1,Industria
116,CÃ¡diz,11,52.6,2008,1,Industria
